Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /rest/v1/academic_years,91,0,120,122.64734176678358,71.30539999343455,231.49710008874536,2.0,2.096616279980856,0.0,120,140,160,160,180,190,220,230,230,230,230
GET,GET /rest/v1/attendance_records,79,0,91,111.52773164654788,72.57879991084337,229.48290000203997,2.0,1.8201394078954682,0.0,91,120,140,160,170,180,180,230,230,230,230
GET,GET /rest/v1/attendance_sessions,81,0,97,109.25124197433715,73.09139997232705,188.00240010023117,2.0,1.8662188865763663,0.0,97,120,140,140,150,160,180,190,190,190,190
GET,GET /rest/v1/branches,91,0,140,453.22475714000086,73.9371000090614,7265.245399903506,2.0,2.096616279980856,0.0,140,190,210,350,1400,2400,2400,7300,7300,7300,7300
GET,GET /rest/v1/finance_transactions,79,79,88,113.8131101232588,74.05589998234063,552.7699999511242,103.0,1.8201394078954682,1.8201394078954682,88,120,140,150,160,190,190,550,550,550,550
GET,GET /rest/v1/groups,90,0,91,113.34258444322687,72.18990009278059,230.18409998621792,2.0,2.0735765406404068,0.0,92,120,130,150,180,190,210,230,230,230,230
GET,GET /rest/v1/groups (multi-tenant),248,0,120,204.74092137338894,73.68539995513856,3348.614899907261,2.0,5.713855356431344,0.0,120,140,160,180,200,260,2400,2500,3300,3300,3300
GET,GET /rest/v1/profiles (student_roster),85,0,96,112.33109881800107,76.01129997055978,226.68949991930276,2.0,1.958377843938162,0.0,96,110,130,140,170,200,220,230,230,230,230
GET,GET /rest/v1/unified_notifications (queue),73,0,110,131.14636986076272,74.82149999123067,536.1529999645427,2.0,1.6819009718527744,0.0,110,140,160,170,200,230,240,540,540,540,540
GET,GET /rest/v1/videos (multi-tenant),248,0,97,120.30808306571411,75.01920009963214,581.9738999707624,2.0,5.713855356431344,0.0,98,140,150,160,180,200,220,230,580,580,580
GET,SPAM /rest/v1/profiles (search),295,0,98,135.8891915241888,72.32299994211644,3367.3056999687105,2.0,6.796723105432445,0.0,98,130,140,150,170,200,230,450,3400,3400,3400
POST,SPAM /rest/v1/rpc/get_student_status_counts,271,0,97,123.6458328372981,71.11210003495216,1244.9813999701291,75.0,6.24376936126167,0.0,97,130,140,150,180,210,230,390,1200,1200,1200
,Aggregated,1731,79,100,151.69600485208008,71.11210003495216,7265.245399903506,18.038128249566725,39.88178879831716,1.8201394078954682,100,130,150,160,190,210,390,1400,3400,7300,7300
