Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
HEAD,Admin: students COUNT head-only (NEW),385,0,600,1437.6106732440267,92.48310001567006,22844.07199989073,0.0,3.220464277241501,0.0,600,1000,1400,1700,2900,4700,13000,16000,23000,23000,23000
GET,Admin: students PAGED+lean limit=50 (NEW),742,2,650,1746.5367211613207,80.26389987207949,45138.86070018634,3980.242587601078,6.20671297068362,0.016729684557098706,650,1200,1500,2000,3500,7400,13000,17000,45000,45000,45000
GET,Admin: students select=* WHOLE roster (OLD),348,2,640,1515.8964755721445,89.34529987163842,28056.682500056922,8284.114942528735,2.910965112935175,0.016729684557098706,650,1000,1600,1900,3000,4800,12000,19000,28000,28000,28000
GET,Student: exams (lean),4013,10,700,1720.1928055063452,82.65420002862811,48052.931499900296,415.9608771492649,33.56811206381855,0.08364842278549353,700,1200,1600,2000,3500,6400,14000,18000,31000,48000,48000
GET,Student: homeworks (lean),2537,9,680,1605.4008309408189,78.08919996023178,47021.44249994308,737.3748521876232,21.221604860679708,0.07528358050694418,680,1200,1600,1900,3300,5300,11000,18000,38000,47000,47000
GET,Student: own profile,1294,5,640,1539.519362286391,81.73649990931153,26923.924900125712,100.6097372488408,10.824105908442863,0.041824211392746766,650,1200,1600,1900,3500,5000,11000,16000,22000,27000,27000
GET,Student: videos (lean),5329,9,680,1625.3569631078478,81.71069994568825,51326.04749989696,1457.5342465753424,44.5762445023895,0.07528358050694418,680,1200,1600,1900,3200,5400,12000,18000,26000,51000,51000
,Aggregated,14648,37,670,1638.9024629706469,78.08919996023178,51326.04749989696,1179.2444019661386,122.52820969619093,0.30949916430632607,670,1200,1600,1900,3300,5600,13000,18000,31000,48000,51000
