Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /rest/v1/academic_years,189,0,90,116.02495502614018,73.02670006174594,525.1010999782011,2.0,4.367823820501516,0.0,90,110,130,140,180,210,300,470,530,530,530
GET,GET /rest/v1/attendance_records,157,0,94,115.99008661582117,74.20120004098862,542.5968999043107,2.0,3.6282980942790375,0.0,94,110,130,140,190,210,230,250,540,540,540
GET,GET /rest/v1/attendance_sessions,165,0,96,121.91115212062317,73.70340009219944,493.8847000012174,2.0,3.813179525834657,0.0,96,110,120,150,180,260,360,440,490,490,490
GET,GET /rest/v1/branches,190,0,130,754.8926784185154,72.03510007821023,7393.4332999633625,2.0,4.390933999445969,0.0,130,220,450,1400,2400,2500,7300,7400,7400,7400,7400
GET,GET /rest/v1/finance_transactions,157,157,92,113.67230063265747,70.34590002149343,556.706800009124,103.0,3.6282980942790375,3.6282980942790375,92,100,130,150,190,200,210,290,560,560,560
GET,GET /rest/v1/groups,189,0,89,111.91673174921777,71.6093999799341,408.14929991029203,2.0,4.367823820501516,0.0,89,110,130,150,170,190,270,290,410,410,410
GET,GET /rest/v1/groups (multi-tenant),492,0,96,271.51473800815467,73.35610000882298,7374.245999963023,2.0,11.370208040670613,0.0,96,120,140,160,220,1200,2500,3400,7400,7400,7400
GET,GET /rest/v1/profiles (student_roster),176,0,92,128.2316136348527,69.64249990414828,516.676300088875,2.0,4.067391494223634,0.0,92,110,120,140,190,410,500,510,520,520,520
GET,GET /rest/v1/unified_notifications (queue),145,0,95,126.22218620240817,73.43129999935627,513.3012000005692,2.0,3.3509759469456077,0.0,95,120,140,150,190,230,470,490,510,510,510
GET,GET /rest/v1/videos (multi-tenant),491,0,91,112.57824093499838,73.69710004422814,538.3983999490738,2.0,11.347097861726162,0.0,91,100,130,140,160,190,260,440,540,540,540
GET,SPAM /rest/v1/profiles (search),506,0,92,133.36144446711913,72.13920005597174,3305.320000043139,2.0,11.693750545892948,0.0,93,100,120,140,170,200,430,530,3300,3300,3300
POST,SPAM /rest/v1/rpc/get_student_status_counts,541,0,91,129.1203210704879,71.85409998055547,2489.8328999988735,75.0,12.502606808948785,0.0,91,100,120,140,170,200,400,430,2500,2500,2500
,Aggregated,3398,157,93,179.44380682626556,69.64249990414828,7393.4332999633625,18.288993525603296,78.52838805324949,3.6282980942790375,93,110,130,150,190,300,1400,2400,7400,7400,7400
