Method,Name,Error,Occurrences,First Seen,Last Seen
GET,Student: videos (lean),"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",17,2026-07-24T03:40:34Z,2026-07-24T03:50:24Z
GET,Student: own profile,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",3,2026-07-24T03:48:08Z,2026-07-24T03:48:41Z
GET,Assistant: roster PAGED+lean,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",1,2026-07-24T03:48:40Z,2026-07-24T03:48:40Z
GET,POLL Notifications: list(50),"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",17,2026-07-24T03:31:16Z,2026-07-24T03:49:54Z
GET,Student: homeworks (lean),"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",2,2026-07-24T03:47:35Z,2026-07-24T03:48:43Z
HEAD,Admin: wa summary count [sent],"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",1,2026-07-24T03:47:35Z,2026-07-24T03:47:35Z
GET,Student: exams (lean),"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",8,2026-07-24T03:43:13Z,2026-07-24T03:50:23Z
