Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/v1/token (Login),453,451,2400,4138.224817228053,190.55870012380183,16275.243900017813,95.4635761589404,3.7964647942366203,3.7797033602664807,2400,3300,7200,7300,8300,15000,15000,15000,16000,16000,16000
GET,/rest/v1/payment_settings (Admin),636,0,88,120.51184010273138,74.31360008195043,7241.115899989381,637.0,5.330136002504394,0.0,88,92,95,96,100,120,160,660,7200,7200,7200
GET,/rest/v1/payments (Admin),623,0,88,141.27515184873923,73.11930018477142,8332.645900081843,2.0,5.221186681698486,0.0,88,91,94,96,100,130,250,670,8300,8300,8300
GET,/rest/v1/profiles?role=eq.student (Admin),1263,0,92,164.098205705382,76.77130005322397,15326.905000023544,8332.0,10.58484555214316,0.0,92,96,98,100,110,130,250,2400,8300,15000,15000
,Aggregated,2975,451,92,755.1367482074983,73.11930018477142,16275.243900017813,3688.382857142857,24.93263303058266,3.7797033602664807,92,97,100,120,2400,3400,8300,15000,15000,16000,16000
